Video #,Title,Target Keywords,Embed Page,Duration,Priority,Type,Status
1,How Much Does a New Roof Cost in Charlotte NC? (2026 Pricing Guide),"roof cost charlotte nc, how much does a roof cost in charlotte, charlotte roof replacement cost",/locations/charlotte-nc,2-3 min,Tier 1,Local SEO - Cost,Planned
2,Lake Norman's Most Trusted Roofer | Huntersville Cornelius Davidson Mooresville,"lake norman roofer, huntersville roofing, cornelius roof repair, davidson nc roofing",/locations/lake-norman,2-3 min,Tier 1,Local SEO - Area,Planned
3,Roof Leaking? What to Do RIGHT NOW (Emergency Guide),"roof leaking what to do, emergency roof repair, my roof is leaking",/emergency,2-3 min,Tier 1,AEO - Emergency,Planned
4,How to File a Roof Insurance Claim (Step-by-Step Guide),"roof insurance claim, how to file roof damage claim, storm damage roof insurance",/services/insurance-claims,3 min,Tier 2,AEO - Insurance,Planned
5,Why We Started a Roofing Company (Veteran-Owned Family Values),"veteran owned roofing charlotte, best roofing company charlotte, honest roofer near me",/about,2-3 min,Tier 2,Trust Building,Planned
6,How to Prepare Your Roof for Hurricane Season in Charlotte NC,"hurricane roof preparation, charlotte storm prep, protect roof from hurricane",/seasonal/summer-roofing,2-3 min,Tier 3,Seasonal,Planned
7,5 Signs You Need a New Roof (Don't Ignore #3),"signs you need new roof, when to replace roof, how do I know if I need new roof",/guides/signs-you-need-new-roof,3 min,Tier 1,AEO - FAQ,Planned
8,Roofer Reacts: Worst Roof Fails in Charlotte,"bad roofing job, roofing fails, roof repair gone wrong",Homepage/Blog,60-90 sec,Tier 3,Viral/Shorts,Planned
9,Best Roofing Shingles for Charlotte NC Weather (Contractor's Pick),"best shingles for nc, charlotte roofing materials, gaf vs certainteed",/materials/asphalt-shingles,3 min,Tier 2,Product Education,Planned
10,Roofing in Myers Park Charlotte | Historic Home Specialists,"myers park roofing, charlotte historic home roofing, dilworth roofing",/locations/charlotte-nc/myers-park,2-3 min,Tier 3,Hyper-Local,Planned
